StatisticCrimeGroup,StatisticCrimeType,Crime,Excluded
עבירות מנהליות,עבירות מנהליות אחרות,פקודת בתי הסוהר 1947,
עבירות מנהליות,עבירות מנהליות אחרות,"פקודת בתי הסוהר(נוסח חדש), תשל'ב 1971",
עבירות מנהליות,עבירות מנהליות אחרות,פקודת העיריות (נוסח חדש ),
עבירות מנהליות,עבירות מנהליות אחרות,פרסום דו'ח או ממצא ביקורת,
עבירות מנהליות,עבירות מנהליות אחרות,צורך מעשה זנות,
עבירות מנהליות,עבירות מנהליות אחרות,קבלת טובת הנאה,
עבירות מנהליות,עבירות מנהליות אחרות,שיווק מוצר עישון בחפיסה או באריזה שאינה כאמור בסעי,
עבירות מנהליות,עבירות מנהליות אחרות,תקנות הנמלים תשל'א-1971,
עבירות מנהליות,עבירות מנהליות אחרות,תקנות שעת חרום(יציאה לחו'ל) תש'ח - 1948,
עבירות מנהליות,פרוצדורה מול שלטון ופרט,פרסום דוח/חוו'ד לפני המועד הקובע,
עבירות מרמה,זיוף כסף ובולים,הכנה או החזקת מיכשור לזיוף מטבע,
עבירות מרמה,זיוף כסף ובולים,"הכנה, החזקת מכשור ליצירת מטבע מזויף",
עבירות מרמה,זיוף כסף ובולים,"הכנה, החזקת מכשירי חיתוך לזיוף מטבע",
עבירות מרמה,זיוף כסף ובולים,הכנת מתכת לזיוף מטבע מעולה,
עבירות מרמה,זיוף כסף ובולים,זיוף מטבע מעולה,
עבירות מרמה,זיוף כסף ובולים,זיוף מטבעות,
עבירות מרמה,זיוף כסף ובולים,זיוף שטר כסף,
עבירות מרמה,זיוף כסף ובולים,מסחר במטבע מעולה מזוייפת,
עבירות מרמה,זיוף כסף ובולים,מתקין או מחזיק מיכשור לזיוף מטבעות,
עבירות מרמה,זיוף כסף ובולים,סוחר במטבע מזויף של זהב או כסף,
עבירות מרמה,זיוף כסף ובולים,עושה מטבע פשוטה מזוייפת,
עבירות מרמה,זיוף כסף ובולים,עשייה או הכנה לזיוף בולים,
עבירות מרמה,זיוף כסף ובולים,"קונה,מוכר,מקבל מטבע פשוטה מזוייפת",
עבירות מרמה,זיוף מסמכים והפצתם,החזקה של שטר כסף מזוייף,
עבירות מרמה,זיוף מסמכים והפצתם,החזקת מטבע מזויף,
עבירות מרמה,זיוף מסמכים והפצתם,החזקת מטבעות מזוייפות ביודעין,
עבירות מרמה,זיוף מסמכים והפצתם,החזקת שטר הנראה כמזוייף,
עבירות מרמה,זיוף מסמכים והפצתם,החזקת תעודת זהות שנעשה בה שינוי,
עבירות מרמה,זיוף מסמכים והפצתם,הנפקת מטבע מזוייפת,
עבירות מרמה,זיוף מסמכים והפצתם,הנפקת מטבע שאינה מטבע חוקית,
עבירות מרמה,זיוף מסמכים והפצתם,הנפקת מתכת בערך פחות מהמטבע,
עבירות מרמה,זיוף מסמכים והפצתם,הנפקת שטרי כסף שלא כדין,
עבירות מרמה,זיוף מסמכים והפצתם,הענקת תעודה כוזבת,
עבירות מרמה,זיוף מסמכים והפצתם,הפצת מטבע מזויף,
עבירות מרמה,זיוף מסמכים והפצתם,הפרת הוראה מחוק הטיס,
עבירות מרמה,זיוף מסמכים והפצתם,"הרשעה חוזרת על זיוף, מרמה או תחבולה",
עבירות מרמה,זיוף מסמכים והפצתם,התחזות כבעל תעודה,
עבירות מרמה,זיוף מסמכים והפצתם,התקנה או החזקה של מיכשור לזיוף,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף או השחתת דרכון,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף בידי עובד ציבור,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף בכוונה לקבל דבר,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף בנסיבות מחמירות,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף המשפיע על עסקאות,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף וכו' של תעודת ביטוח,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף מסמך בכוונה לקבל דבר,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף מסמך ושימוש בו,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף פנקסים,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף פנקסים,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף פנקסים,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף רשיון נהיגה,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף תעודת בטוח,
עבירות מרמה,זיוף מסמכים והפצתם,זיוף תעודת ביטוח,
עבירות מרמה,זיוף מסמכים והפצתם,מסירת רישום כוזב,
עבירות מרמה,זיוף מסמכים והפצתם,מרמה והפרת אמונים בתאגיד,
עבירות מרמה,זיוף מסמכים והפצתם,עשיית שינויים במסמכים 60 ג  מצו בדבר הוראות הבטחון,
עבירות מרמה,זיוף מסמכים והפצתם,פגיעה בנוהל תקין  של תאגיד,
עבירות מרמה,זיוף מסמכים והפצתם,פגיעת מנהל ביכולת תאגיד,
עבירות מרמה,זיוף מסמכים והפצתם,קניה ומכירת מטבעות מזוייפים,
עבירות מרמה,זיוף מסמכים והפצתם,רישום כוזב במסמכי תאגיד,
עבירות מרמה,זיוף מסמכים והפצתם,שימוש בדרכון מזוייף,
עבירות מרמה,זיוף מסמכים והפצתם,שימוש במסמך מזוייף,
עבירות מרמה,זיוף מסמכים והפצתם,שימוש במסמך מזוייף,
עבירות מרמה,זיוף מסמכים והפצתם,שימוש במסמך מזוייף בכוונה לקבל דבר,
עבירות מרמה,זיוף מסמכים והפצתם,שימוש במסמך מזוייף בנסיבות מחמירות,
עבירות מרמה,זיוף מסמכים והפצתם,שינוי או זיוף תעודה,
עבירות מרמה,זיוף מסמכים והפצתם,שינוי רישום בתעודת זהות,
עבירות מרמה,מרמה ועושק,אי מתן אפשרות עיון בפנקסי העמותה,
עבירות מרמה,מרמה ועושק,הטעיית משקיע סביר בהצעה ומכירה,
עבירות מרמה,מרמה ועושק,הטעיית עובד סביר באסיפה,
עבירות מרמה,מרמה ועושק,הכשלת הליך בירור/אכיפה מנהליים,
עבירות מרמה,מרמה ועושק,העלמה במרמה,
עבירות מרמה,מרמה ועושק,הפצת תפילין ומזוזות בלתי כשרים,
עבירות מרמה,מרמה ועושק,הפרת חובה בניהול פנקסי העמותה,
עבירות מרמה,מרמה ועושק,הפרת חובת הגשת מסמכים,
עבירות מרמה,מרמה ועושק,חבר בעמותה שהשיג תשובה שקרית,
עבירות מרמה,מרמה ועושק,חבר בעמותה שרימה,
עבירות מרמה,מרמה ועושק,ייצוג ללא הרשאה,
עבירות מרמה,מרמה ועושק,מרמה והונאה,
עבירות מרמה,מרמה ועושק,"מתן פרטים מטעים בתשקיף,בדו'ח,בהודעה",
עבירות מרמה,מרמה ועושק,עושק ע'י הפקעת מחיר,
עבירות מרמה,מרמה ועושק,עושק ע'י מתן תמורה הנופלת מהמקובל,
עבירות מרמה,מרמה ועושק,עושק ע'י קבלת דבר שאינו מגיע כדין,
עבירות מרמה,מרמה ועושק,עושק על ידי הפקעת מחיר,
עבירות מרמה,מרמה ועושק,עושק על ידי מתן מחיר הנופל מהמקובל,
עבירות מרמה,מרמה ועושק,עושק על ידי קבלת דבר שאינו מגיע,
עבירות מרמה,מרמה ועושק,עשית מעשה מרמה,
עבירות מרמה,מרמה ועושק,קבלת דבר במירמה,
עבירות מרמה,מרמה ועושק,קבלת דבר במרמה בנסיבות מחמירות,
עבירות מרמה,מרמה ועושק,קבלת דבר בתחבולה,
עבירות מרמה,מרמה ועושק,שידולי מרמה,
עבירות מרמה,מרמה ועושק,תרמית באמצעות הנעת אדם לרכוש או למכור ניירות ערך,
עבירות מרמה,מרמה ועושק,תרמית באמצעות השפעה על תנודות השער של ניירות ערך,
עבירות מרמה,משיכת שיק ללא כסוי,המושך שיק כשהוא לקוח מוגבל לפי חוק שיקים ללא כיסוי,
עבירות מרמה,משיכת שיק ללא כסוי,משיכת שיק ללא כסוי,
עבירות מרמה,עבירות הנוגעות לכרטיסי חיוב,גניבת כרטיס חיוב,
עבירות מרמה,עבירות הנוגעות לכרטיסי חיוב,הונאה בכרטיס חיוב,
עבירות מרמה,עבירות הנוגעות לכרטיסי חיוב,הונאה בנסיבות מחמירות,
עבירות מרמה,עבירות הנוגעות לכרטיסי חיוב,החזקת ציוד לזיוף כרטיס חיוב,
עבירות מרמה,עבירות הנוגעות לכרטיסי חיוב,הפצת כרטיס חיוב ללא חוזה,
עבירות מרמה,עבירות הנוגעות לכרטיסי חיוב,שמוש בכרטיס אשראי ללא כיסוי,
עבירות מרמה,עבירות מרמה,"'זיוף מסמך הקשור לבעלות, חזקה ברכב'",
עבירות מרמה,עבירות מרמה,איסור עיסוק כרופא שיניים ואיסור התחזות למי שאינו מ,
עבירות מרמה,עבירות מרמה,איסור שימוש שלא כדין בתואר דוקטור או בתואר מומחה א,
עבירות מרמה,עבירות מרמה,זיוף מסמך על ידי פקיד,
עבירות מרמה,עבירות מרמה,זיוף מסמך פרטי,
עבירות מרמה,עבירות מרמה,זיוף מסמך רשמי,
עבירות מרמה,עבירות מרמה,זיוף מסמך שהיה בתוקף על ידי פקיד,
עבירות מרמה,קניין רוחני,החזקת עותק של יצירה לשם מסחר,
עבירות מרמה,קניין רוחני,העתקת יצירה לשם מסחר,
עבירות מרמה,קניין רוחני,יבוא עותק של יצירה לשם מסחר,
עבירות מרמה,קניין רוחני,יצור/החזקת חפץ המשכפל עותקים מיצירה,
עבירות מרמה,קניין רוחני,מכירה/השכרה/הפצה מסחרית של עותק,
עבירות מרמה,קניין רוחני,מכירה/השכרה/הפצת עותק של יצירה,
עבירות מרמה,קניין רוחני,שידור יצירה כאמור בסעיף 61 (ז) לחוק,
עבירות מרמה,שאר עבירות מרמה,אי גילוי הודעה נכונה לממונה במטרה להטעותו,
עבירות מרמה,שאר עבירות מרמה,אי גילוי נכסים,
עבירות מרמה,שאר עבירות מרמה,אי דרישת חשבונית מס,
עבירות מרמה,שאר עבירות מרמה,אי הוצאת חשבונית מס,
עבירות מרמה,שאר עבירות מרמה,אי מסירת מידע,
עבירות מרמה,שאר עבירות מרמה,אי מסירת מסמכים,
עבירות מרמה,שאר עבירות מרמה,אי מסירת נכסים,
עבירות מרמה,שאר עבירות מרמה,אי ניהול חשבונות נאותים,
עבירות מרמה,שאר עבירות מרמה,אי ציות בפשרה,
עבירות מרמה,שאר עבירות מרמה,"אי קיום צו, הורעה, תנאי שקבע בהמ'ש",
עבירות מרמה,שאר עבירות מרמה,אי רישום תקבול כדין,
עבירות מרמה,שאר עבירות מרמה,אי תשלום מס בזמן,
עבירות מרמה,שאר עבירות מרמה,איסור הונאה בבית אוכל,
עבירות מרמה,שאר עבירות מרמה,איסור הונאה ביצור ושיווק,
עבירות מרמה,שאר עבירות מרמה,איסור הונאה במכירה,
עבירות מרמה,שאר עבירות מרמה,איסור הונאה בשחיטה,
עבירות מרמה,שאר עבירות מרמה,איסור לבישת מדים ללא היתר,
עבירות מרמה,שאר עבירות מרמה,איסור מכירת מצרך ללא ציון כשר,
עבירות מרמה,שאר עבירות מרמה,איסור שימוש בתואר פסיכולוג/בביטוי/קיצור המרמז כי ה,
עבירות מרמה,שאר עבירות מרמה,איסור תיווך שלא באמצעות בעל רישיון,
עבירות מרמה,שאר עבירות מרמה,אשראי במצג שווא,
עבירות מרמה,שאר עבירות מרמה,גבייה\קבלת תשלום בניגוד לס' 69ג,
עבירות מרמה,שאר עבירות מרמה,גבייה\קבלת תשלום בניגוד לס' 69ד,
עבירות מרמה,שאר עבירות מרמה,גבייה\קבלת תשלום ע'י לשכה פרטית,
עבירות מרמה,שאר עבירות מרמה,גבייה\קבלת תשלום ע'י מי שאינו לשכה,
עבירות מרמה,שאר עבירות מרמה,גורם בעורמה או תחבולה לזיוף,
עבירות מרמה,שאר עבירות מרמה,גילה תוכן הוראות לבלתי מוסמך,
עבירות מרמה,שאר עבירות מרמה,הברחת נכסים,
עבירות מרמה,שאר עבירות מרמה,הגשת הצהרה או רישום כוזב,
עבירות מרמה,שאר עבירות מרמה,הודעה כוזבת,
עבירות מרמה,שאר עבירות מרמה,הונאה,
עבירות מרמה,שאר עבירות מרמה,הונאת נושים ע'י מכירת נכס וכד',
עבירות מרמה,שאר עבירות מרמה,הונאת נושים ע'י שעבוד נכס וכד',
עבירות מרמה,שאר עבירות מרמה,הוצאת תעודה כוזבת,
עבירות מרמה,שאר עבירות מרמה,הוצאת תעודת ביטוח ע'י הודעה כוזבת,
עבירות מרמה,שאר עבירות מרמה,הוצאת תעודת ביטוח ע'י הודעה כוזבת,
עבירות מרמה,שאר עבירות מרמה,החזקה של נייר לזיוף שטרי כסף,
עבירות מרמה,שאר עבירות מרמה,החזקת טופס מתחזה לאמיתי,
עבירות מרמה,שאר עבירות מרמה,החזקת נייר או חומר אחר לזיוף חותמים,
עבירות מרמה,שאר עבירות מרמה,הימורים והשקעות מסוכנים,
עבירות מרמה,שאר עבירות מרמה,היתר או אישור שלא כדין,
עבירות מרמה,שאר עבירות מרמה,הכנת מכשירים לזיוף שטרי כסף,
עבירות מרמה,שאר עבירות מרמה,המוסר תעודת המלצה לאחר,
עבירות מרמה,שאר עבירות מרמה,המפיץ דבר הדומה לשטר כסף,
עבירות מרמה,שאר עבירות מרמה,הנפקת נייר הנחזה כשטר כסף,
עבירות מרמה,שאר עבירות מרמה,הסכם במירמה,
עבירות מרמה,שאר עבירות מרמה,הסתרת דבר דואר,
עבירות מרמה,שאר עבירות מרמה,העברת נכס שהושג באשראי,
עבירות מרמה,שאר עבירות מרמה,העברת תעודה לשם התחזות,
עבירות מרמה,שאר עבירות מרמה,העברת תעודת אופי לשם התחזות,
עבירות מרמה,שאר עבירות מרמה,העלמת מסמכים,
עבירות מרמה,שאר עבירות מרמה,העלמת נכסים או חובות,
עבירות מרמה,שאר עבירות מרמה,הצגת תעודת מכר לא נכונה,
עבירות מרמה,שאר עבירות מרמה,הרשאה לאחר להשתמש בדרכונו,
עבירות מרמה,שאר עבירות מרמה,השגת אשראי לפני ההטר,
עבירות מרמה,שאר עבירות מרמה,השגת נכס במרמה,
עבירות מרמה,שאר עבירות מרמה,השגת נכס במרמה,
עבירות מרמה,שאר עבירות מרמה,השגת תעודת ביטוח בטענה כוזבת,
עבירות מרמה,שאר עבירות מרמה,השמטת פרטים,
עבירות מרמה,שאר עבירות מרמה,התחזות כאדם אחר במטרה להונות,
עבירות מרמה,שאר עבירות מרמה,התחזות כאחר במטרה לזכות בנכס לא לו,
עבירות מרמה,שאר עבירות מרמה,התחזות כבעל תעודת אופי,
עבירות מרמה,שאר עבירות מרמה,התחזות כחייל,
עבירות מרמה,שאר עבירות מרמה,התחזות כעורך דין,
עבירות מרמה,שאר עבירות מרמה,התחזות כשוטר,
עבירות מרמה,שאר עבירות מרמה,התחזות\שימוש\חתימה כרואה חשבון,
עבירות מרמה,שאר עבירות מרמה,התחפשות פוגעת,
עבירות מרמה,שאר עבירות מרמה,התקנה או החזקת מיכשור לזיוף חותמים,
עבירות מרמה,שאר עבירות מרמה,התראות כאחר,
עבירות מרמה,שאר עבירות מרמה,זיוף חותמת לסימון של משקל,
עבירות מרמה,שאר עבירות מרמה,חובת הצגת תעודת כשרות,
עבירות מרמה,שאר עבירות מרמה,חוק הביטוח הלאומי (נוסח משולב) תשכ'ח - 1968,
עבירות מרמה,שאר עבירות מרמה,"חוק הביטוח הלאומי(נוסח משולב),תשנ'ה - 1995",
עבירות מרמה,שאר עבירות מרמה,חוק נכי המלחמה בנאצים תשי'ד - 1954,
עבירות מרמה,שאר עבירות מרמה,חוק נכי רדיפות הנאצים תשי'ז - 1957,
עבירות מרמה,שאר עבירות מרמה,חייב שהפר הגבלה שהוטלה עליו לפי סעיף 42א(ג),
עבירות מרמה,שאר עבירות מרמה,חייב שהפר עבירה שהוטלה עליו לפי סעיפים 42א(א) או (,
עבירות מרמה,שאר עבירות מרמה,חייב שנמנע לעזור בגילוי נכסיו,
עבירות מרמה,שאר עבירות מרמה,חלוקת נכסים כדי להמנע מתשלום מס,
עבירות מרמה,שאר עבירות מרמה,טשטוש מטבע,
עבירות מרמה,שאר עבירות מרמה,כישוף,
עבירות מרמה,שאר עבירות מרמה,לא דיווח על תביעת כזב,
עבירות מרמה,שאר עבירות מרמה,לבוש מדים ללא רשות,
עבירות מרמה,שאר עבירות מרמה,לבישת חלקי מדים,
עבירות מרמה,שאר עבירות מרמה,לבישת מדים במטרה להטעות,
עבירות מרמה,שאר עבירות מרמה,מזייף כל פריט מפריטי שטר כסף,
עבירות מרמה,שאר עבירות מרמה,מירמה במסמכים,
עבירות מרמה,שאר עבירות מרמה,מניעת הצגת מסמכים,
עבירות מרמה,שאר עבירות מרמה,מסירה ביודעין הודעה כוזבת,
עבירות מרמה,שאר עבירות מרמה,מסירת אמירה שאינה נכונה,
עבירות מרמה,שאר עבירות מרמה,מסירת הודעה כוזבת,
עבירות מרמה,שאר עבירות מרמה,מסירת הודעה כוזבת,
עבירות מרמה,שאר עבירות מרמה,מסירת הודעה כוזבת להשגת דרכון,
עבירות מרמה,שאר עבירות מרמה,מסירת מידע כוזב,
עבירות מרמה,שאר עבירות מרמה,מסירת תעודת זהות לאחר,
עבירות מרמה,שאר עבירות מרמה,מרמה בשימוש במשקל,
עבירות מרמה,שאר עבירות מרמה,מרמה לאחר צו כינוס,
עבירות מרמה,שאר עבירות מרמה,מתן שירותי בזק ללא היתר,
עבירות מרמה,שאר עבירות מרמה,נושא משרה הנותן מתנה כדי להונות,
עבירות מרמה,שאר עבירות מרמה,נטילת חשמל במרמה,
עבירות מרמה,שאר עבירות מרמה,עבירה על פי,
עבירות מרמה,שאר עבירות מרמה,עבירה על פקודה זו,
עבירות מרמה,שאר עבירות מרמה,עונשין,
עבירות מרמה,שאר עבירות מרמה,עיסוק בלשכה פרטית ללא רישיון,
עבירות מרמה,שאר עבירות מרמה,עיסוק בראיית חשבון ללא רישיון,
עבירות מרמה,שאר עבירות מרמה,עיסוק בתיווך ללא רישיון,
עבירות מרמה,שאר עבירות מרמה,פגיעה בסימן גבול כדי להונות,
עבירות מרמה,שאר עבירות מרמה,פעולה בניגוד לסמכות,
עבירות מרמה,שאר עבירות מרמה,פתיחת דבר דואר או עיכובו ע'י פקיד,
עבירות מרמה,שאר עבירות מרמה,קבלת הלוואה בכוונה שלא להחזיר,
עבירות מרמה,שאר עבירות מרמה,קבלת עסקים תשלום דמי עמילות,
עבירות מרמה,שאר עבירות מרמה,קבלת תשלום שלא כדין,
עבירות מרמה,שאר עבירות מרמה,קשירת קשר להונות,
עבירות מרמה,שאר עבירות מרמה,קשר להונאה,
עבירות מרמה,שאר עבירות מרמה,שאיבת מים במרמה,
עבירות מרמה,שאר עבירות מרמה,שימוש בדרכון של אחר,
עבירות מרמה,שאר עבירות מרמה,שימוש במצג שווא לשכנע נושה,
עבירות מרמה,שאר עבירות מרמה,שימוש במרמה או תחבולה או הרשה להשתמש,
עבירות מרמה,שאר עבירות מרמה,שימוש בתעודת ביטוח כוזבת,
עבירות מרמה,שאר עבירות מרמה,שינוי למשקל כוזב/העברתו לאחר,
עבירות מרמה,שאר עבירות מרמה,שמוש בכל אבזר לזיוף שטרי כסף,
עבירות מרמה,שאר עבירות מרמה,שמוש בתעודה כדי להתראות כאחר,
עבירות מרמה,שאר עבירות מרמה,תחבולה בשימוש במתקן בזק,
עבירות מרמה,שאר עבירות מרמה,תיווך שלא כדין-קבלת תשלום,
עבירות נגד אדם,איום ברצח,איום בכתב לרצוח,
עבירות נגד אדם,איום ברצח,חבלה ואיום,
עבירות נגד אדם,גרימת מות ברשלנות,גרימת מוות ברשלנות (פלילי),
עבירות נגד אדם,גרימת מות ברשלנות,גרימת מוות ברשלנות של חסר ישע,
עבירות נגד אדם,גרימת מות ברשלנות,גרימת מוות ברשלנות של קטין,
עבירות נגד אדם,גרימת מות ברשלנות,גרימת מוות ברשלנות של קטין במשפחה,
עבירות נגד אדם,גרימת מות ברשלנות,גרם מוות ברשלנות/בחוסר זהירות/באי מילוי חוק או תקנ,
עבירות נגד אדם,גרימת מות ברשלנות - ת.ד.,גרימת מוות ברשלנות (תוך שמוש ברכב ),
עבירות נגד אדם,גרימת מות ברשלנות - ת.ד.,גרימת מוות ברשלנות (תנועה),
עבירות נגד אדם,הריגה,המתת וולד,
עבירות נגד אדם,הריגה,הריגה,
עבירות נגד אדם,הריגה,הריגה,
עבירות נגד אדם,הריגה,הריגה בכוונה,
עבירות נגד אדם,הריגה,הריגה בכוונה תוך התעללות,
עבירות נגד אדם,הריגה,הריגה במכשיר או בחומר מזיק,
עבירות נגד אדם,נסיון לרצח,המנסה לגרום למות אדם,
עבירות נגד אדם,נסיון לרצח,"המסכן חיי אדם בזדון ע'י מעשה,מחדל",
עבירות נגד אדם,נסיון לרצח,מעשה או מחדל המסכנים חיי אדם,
עבירות נגד אדם,נסיון לרצח,נסיון לרצח חסר ישע,
עבירות נגד אדם,נסיון לרצח,נסיון לרצח קטין,
עבירות נגד אדם,נסיון לרצח,נסיון לרצח קטין במשפחה,
עבירות נגד אדם,נסיון לרצח,נסיון רצח ע'י נידון למאסר,
עבירות נגד אדם,נסיון לרצח,סיכון הבטיחות על מסילת הברזל,
עבירות נגד אדם,נסיון לרצח,צו בדבר כללי האחריות לעבירה תשכ'ח - 1968 נסיון לרצ,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,אי סיפוק צרכי מחיה,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,הטעיית תחבורה,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,העלמת לידה,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,הפסקת הריון ביודעין,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,הפעלת כלי יריה,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,הפרת חובה נגד חסר ישע,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,הפרת חובה נגד קטין במשפחה,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,התעללות,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,התעללות בחייל אחר,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,התעללות בנסיבות מחמירות,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,סיכון אדם בנתיב תחבורה בטיפול באור,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,סיכון אדם בנתיב תחבורה בטיפול מסוכן,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,סיכון בטיחותי של נוסע,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,סיכון חיי אדם בנתיב תחבורה,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,סיכון חיים או בריאות,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,סיכון שדה תעופה ומסוף נוסעים,
עבירות נגד אדם,עבירות אחרות כלפי חיי אדם,שידול או סיוע להתאבדות,
עבירות נגד אדם,רצח,גרימת מוות בזדון להורה,
עבירות נגד אדם,רצח,גרימת מוות בכוונה,
עבירות נגד אדם,רצח,גרימת מוות בכוונה ע'י חבר בקבוצה,
עבירות נגד אדם,רצח,גרימת מוות בכוונה תחילה,
עבירות נגד אדם,רצח,גרימת מוות במזיד לאחר בצוע עבירה,
עבירות נגד אדם,רצח,גרימת מוות במזיד תוך בצוע עבירה,
עבירות נגד אדם,רצח,הגורם בכוונה או באדישות למותו של אדם,
עבירות נגד אדם,רצח,הגורם בכוונה או באדישות למותו של אדם (נסיבות מחמיר,
עבירות נגד אדם,רצח,"המתה באדישות לפי ס' 34א(א)(1), 34ט(ב),34יד(ב) לחוק",
עבירות נגד אדם,רצח,המתה בנסיבות כשהנאשם היה במצב של מצוקה נפשית,
עבירות נגד אדם,רצח,המתה בקלות דעת,
עבירות נגד אדם,רצח,המתה בתכוף לאחר התגרות,
עבירות נגד אדם,רצח,המתה כשהנאשם בעל הפרעה נפשית או ליקוי שכלי,
עבירות נגד אדם,רצח,רצח,
עבירות נגד אדם,רצח,רצח באכזריות מיוחדת או התעללות,
עבירות נגד אדם,רצח,רצח בכונה תחילה,
עבירות נגד אדם,רצח,רצח במטרה לאפשר עבירה אחרת,
עבירות נגד אדם,רצח,רצח במסגרת ארגון פשיעה או ארגון טרור,
עבירות נגד אדם,רצח,רצח בן הזוג לאחר התעללות,
עבירות נגד אדם,רצח,רצח בנסיבות מחמירות שאינו מבטא דרגת אשמה חמורה במי,
עבירות נגד אדם,רצח,רצח חסר ישע,
עבירות נגד אדם,רצח,רצח חסר ישע או קטין,
עבירות נגד אדם,רצח,רצח כמעשה טרור,
עבירות נגד אדם,רצח,רצח לאחר תכנון,
עבירות נגד אדם,רצח,רצח מתוך מניע של גזענות או עוינות,
עבירות נגד אדם,רצח,רצח קטין,
עבירות נגד אדם,רצח,רצח קטין במשפחה,
עבירות נגד אדם,רצח,רצח תוך יצירת סכנה לאדם נוסף,
עבירות נגד אדם,"רצח ע""י פעולת איבה",גרימת מוות בכוונה,
עבירות נגד אדם,"רצח ע""י פעולת איבה",הגורם בכוונה למותו של אחר  51 (א)  מצו 378 בדבר הו,
עבירות נגד אדם,"רצח ע""י פעולת איבה",הריגה,
עבירות נגד אדם,"רצח ע""י פעולת איבה",הריגה 51א לצו 378 מהוראות הביטחון 1970,
עבירות נגד אדם,"רצח ע""י פעולת איבה",רצח בכוונה תחילה,
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,אחראי הגורם חבלת חמורה לחסר ישע,1
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,אחראי על קטין הגורם לו חבלה חמורה,1
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,אחראי על קטין המתעלל נפשית בקטין,
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,אי דיווח אחראי על חסר ישע,1
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,אי דיווח ע'י בעל תפקיד,1
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,אי דיווח על עבירה בקטין,1
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,גרימת חבלה גופנית,
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,גרימת חבלה חמורה לקטין,1
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,המרת דתו של קטין,1
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,התעללות פיזית או נפשית בחסר ישע,1
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,התעללות פיזית או נפשית בקטין,1
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,התעללות פיזית/נפשית לאחראי בחסר ישע,1
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,התעללות פיזית/נפשית של אחראי בקטין,1
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,חובת דיווח של אחראי על קטין,1
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,חובת דיווח של מנהל מעון או מוסד,1
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,נוכחות שניים או יותר בביצוע תקיפה,
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,נשיאת נשק חם או קר תוך גרימת פציעה,
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,פציעה,
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,פציעה חסר ישע ע'י אחראי,
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,פציעה קטין,
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,פציעה קטין ע'י אחראי,
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,פציעת בן זוג,
עבירות נגד גוף,(תקיפה (למעט עובדי ציבור,שידול קטין להמיר את דתו,1
