"disease_type","Jerusalem","Zefat","Kinneret","Afula","Akko","Nazareth","Haifa","Hadera","Ha'Sharon","Petach Tiqwa","Ramla","Rehovot","Tel Aviv","Beer Sheva","Ashqelon","disease_type_heb","week_num","year"
"Pertussis",6,12,0,2,0,0,0,0,10,63,0,25,0,2,1,"שעלת","14","2016"
"Influenza caused by a new subtype",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת הנגרמת ע""י זן חדש","14","2016"
"Pandemic influenza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת פנדמית","14","2016"
"Avian influenza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת העופות","14","2016"
"Toxic shock syndrome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"תסמונת ההלם הטוקסי","14","2016"
"Severe Acute Respiratory Syndrome (SARS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"תסמונת נשימתית חמורה חדה","14","2016"
"Food/Water borne infections",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,"הרעלת מזון/מים","14","2016"
"Varicella - Chickenpox",7,5,1,1,1,0,2,0,0,15,0,11,37,5,1,"אבעבועות רוח","15","2016"
"Smallpox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אבעבועות שחורות","15","2016"
"Rubella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אדמת","15","2016"
"Congenital rubella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אדמת מלידה","15","2016"
"E. coli O157:H7 infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום ע""י א. קולי O157:H7","15","2016"
"HIV carrier/ AIDS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"נשא HIV/ איידס","15","2016"
"Echinococcosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אכינוקוקוזיס","15","2016"
"Diphtheria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אסכרה","15","2016"
"Botulism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"בוטוליזם","15","2016"
"Brucellosis",1,1,0,1,2,0,0,0,0,0,0,0,0,8,0,"ברוצלוזיס","15","2016"
"Giardiasis",14,0,2,0,0,0,5,0,0,14,0,2,15,0,0,"ג'יארדיאזיס","15","2016"
"Anthrax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"גחלת","15","2016"
"Pneumonic Plague",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דבר נשימתי","15","2016"
"Plague- non pneumonic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דבר שאינו נשימתי","15","2016"
"Acute Hepatitis A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית A","15","2016"
"Acute Hepatitis B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית B","15","2016"
"Acute Hepatitis C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית C","15","2016"
"Acute viral hepatitis - other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית אחרת","15","2016"
"Encephalitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת מח חדה","15","2016"
"Meningitis - meningococcal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה מנינגוקוקית","15","2016"
"Meningitis - Haemophilus influenzae b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה ע""י Hib","15","2016"
"Meningitis - pneumococcal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה פנוימוקוקית","15","2016"
"Acute viral meningitis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"דלקת עוצבה נגיפית","15","2016"
"Meningitis - unknown agent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה - מחולל לא ידוע","15","2016"
"Meningitis - other",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"דלקת עוצבה חדה אחרת","15","2016"
"Gonorrhea",0,0,0,0,0,0,3,0,1,0,0,2,4,0,0,"זיבה","15","2016"
"H. influenzae b invasive infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י Hib","15","2016"
"Meningococcal invasive infection",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"זיהום פולשני ע""י מנינגוקוק","15","2016"
"Pneumococcal invasive infection",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"זיהום פולשני ע""י פנוימוקוק","15","2016"
"Zika",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיקה","15","2016"
"Congenital Zika",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיקה מלידה","15","2016"
"Mumps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"חזרת","15","2016"
"Measles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"חצבת","15","2016"
"Tularemia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טולרמיה","15","2016"
"Typhoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טיפואיד","15","2016"
"Murine typhus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טיפוס מוריני","15","2016"
"Cholera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"כולירה","15","2016"
"Non cholera vibrio infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ויבריו שאינו כולירה","15","2016"
"Rabies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"כלבת","15","2016"
"Chlamydia trachomatis of the genital tract",0,5,4,0,0,0,26,0,0,0,0,10,0,0,0,"כלמידיה טרכומטיס בדרכי המין","15","2016"
"Lymphogranuloma venereum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לימפוגרנולומה ונראום","15","2016"
"Listeriosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ליסטריוזיס","15","2016"
"Visceral leishmaniasis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לישמניאזיס - קלה אזר","15","2016"
"Cutaneous leishmaniasis",0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,"לישמניאזיס של העור","15","2016"
"Leptospirosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לפטוספירוזיס","15","2016"
"Legionellosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"מחלת הלגיונרים","15","2016"
"Creutzfeldt-Jacob disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"מחלת קרויצפלדט-יעקוב","15","2016"
"Malaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"מלריה","15","2016"
"GAS Invasive Infection",0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,"סטרפטוקוקים מקבוצה A זיהום פולשני","15","2016"
"Perinatal streptococcal B early onset",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"סטרפטוקוק B סב-לידתי - התחלה מוקדמת","15","2016"
"Perinatal streptococcal B late onset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"סטרפטוקוק B סב-לידתי - התחלה מאוחרת","15","2016"
"Salmonellosis of the gastrointestinal tract",1,1,0,1,2,0,11,0,0,1,0,4,3,7,3,"סלמונלוזיס של דרכי העיכול","15","2016"
"Syphilis - primary and secondary",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"עגבת ראשונית ושניונית","15","2016"
"Syphilis - other",0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,"עגבת אחרת ומאוחרת","15","2016"
"Congenital Syphilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"עגבת מלידה","15","2016"
"Paratyphoid fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"פאראטיפואיד","15","2016"
"Tetanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"צפדת","15","2016"
"Leprosy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"צרעת","15","2016"
"Q fever",0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,"קדחת Q","15","2016"
"Dangue fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת דנגי","15","2016"
"Rift Valley fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת השקע האפריקני","15","2016"
"Relapsing fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת חוזרת","15","2016"
"Spotted fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת כתמים","15","2016"
"West Nile fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת מערב הנילוס","15","2016"
"Viral hemorrhagic fever: Ebola, Lassa, Marburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת נגיפית המורגית: אבולה, לאסה, מרבורג","15","2016"
"Viral hemorrhagic fever excluding Ebola, Lassa, Marburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת נגיפית המורגית למעט אבולה, לאסה, מרבורג","15","2016"
"Yellow Fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת צהובה","15","2016"
"Rheumatic fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת שיגרון","15","2016"
"Campylobacteriosis",10,4,0,0,0,0,15,0,1,22,0,16,24,2,12,"קמפילובקטריוזיס","15","2016"
"Criptosporidiosis",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"קריפטוספורידיוזיס","15","2016"
"Other rickettsial diseases",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ריקטסיוזות אחרות","15","2016"
"Tuberculosis - active pulmonary",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,"שחפת ריאות פעילה","15","2016"
"Tuberculosis - extrapulmonary",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,"שחפת מחוץ לריאות","15","2016"
"Shigellosis",8,2,0,0,1,0,7,11,0,3,0,4,24,28,5,"שיגלוזיס","15","2016"
"Poliomyelitis caused by wild-type poliovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק ילדים הנגרם ע""י זן פרא של נגיף הפוליו","15","2016"
"Poliomyelitis caused by vaccine derived poliovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק ילדים הנגרם ע""י נגיף שמקורו בתרכיב חיסון","15","2016"
"Acute flaccid paralysis (through 15)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק רפה חד (עד גיל 15 ועד בכלל)","15","2016"
"Pertussis",6,0,1,2,1,0,0,2,6,11,0,10,1,2,0,"שעלת","15","2016"
"Influenza caused by a new subtype",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת הנגרמת ע""י זן חדש","15","2016"
"Pandemic influenza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת פנדמית","15","2016"
"Avian influenza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת העופות","15","2016"
"Toxic shock syndrome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"תסמונת ההלם הטוקסי","15","2016"
"Severe Acute Respiratory Syndrome (SARS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"תסמונת נשימתית חמורה חדה","15","2016"
"Food/Water borne infections",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"הרעלת מזון/מים","15","2016"
"Varicella - Chickenpox",7,0,0,1,0,0,2,0,2,18,0,3,0,0,1,"אבעבועות רוח","16","2016"
"Smallpox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אבעבועות שחורות","16","2016"
"Rubella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אדמת","16","2016"
"Congenital rubella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אדמת מלידה","16","2016"
"E. coli O157:H7 infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום ע""י א. קולי O157:H7","16","2016"
"HIV carrier/ AIDS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"נשא HIV/ איידס","16","2016"
"Echinococcosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אכינוקוקוזיס","16","2016"
"Diphtheria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אסכרה","16","2016"
"Botulism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"בוטוליזם","16","2016"
"Brucellosis",2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,"ברוצלוזיס","16","2016"
"Giardiasis",2,0,0,0,0,0,3,0,0,1,0,0,12,0,1,"ג'יארדיאזיס","16","2016"
"Anthrax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"גחלת","16","2016"
"Pneumonic Plague",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דבר נשימתי","16","2016"
"Plague- non pneumonic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דבר שאינו נשימתי","16","2016"
"Acute Hepatitis A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית A","16","2016"
"Acute Hepatitis B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית B","16","2016"
"Acute Hepatitis C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית C","16","2016"
"Acute viral hepatitis - other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית אחרת","16","2016"
"Encephalitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת מח חדה","16","2016"
"Meningitis - meningococcal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה מנינגוקוקית","16","2016"
"Meningitis - Haemophilus influenzae b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה ע""י Hib","16","2016"
"Meningitis - pneumococcal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה פנוימוקוקית","16","2016"
"Acute viral meningitis",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"דלקת עוצבה נגיפית","16","2016"
"Meningitis - unknown agent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה - מחולל לא ידוע","16","2016"
"Meningitis - other",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה אחרת","16","2016"
"Gonorrhea",0,0,0,0,0,1,1,0,0,0,0,0,9,0,0,"זיבה","16","2016"
"H. influenzae b invasive infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י Hib","16","2016"
"Meningococcal invasive infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י מנינגוקוק","16","2016"
"Pneumococcal invasive infection",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"זיהום פולשני ע""י פנוימוקוק","16","2016"
"Zika",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"זיקה","16","2016"
"Congenital Zika",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיקה מלידה","16","2016"
"Mumps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"חזרת","16","2016"
"Measles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"חצבת","16","2016"
"Tularemia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טולרמיה","16","2016"
"Typhoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טיפואיד","16","2016"
"Murine typhus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טיפוס מוריני","16","2016"
"Cholera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"כולירה","16","2016"
"Non cholera vibrio infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ויבריו שאינו כולירה","16","2016"
"Rabies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"כלבת","16","2016"
"Chlamydia trachomatis of the genital tract",0,0,0,1,0,1,12,0,0,0,0,1,34,0,0,"כלמידיה טרכומטיס בדרכי המין","16","2016"
"Lymphogranuloma venereum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לימפוגרנולומה ונראום","16","2016"
"Listeriosis",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,"ליסטריוזיס","16","2016"
"Visceral leishmaniasis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לישמניאזיס - קלה אזר","16","2016"
"Cutaneous leishmaniasis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לישמניאזיס של העור","16","2016"
"Leptospirosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לפטוספירוזיס","16","2016"
"Legionellosis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"מחלת הלגיונרים","16","2016"
"Creutzfeldt-Jacob disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"מחלת קרויצפלדט-יעקוב","16","2016"
"Malaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"מלריה","16","2016"
"GAS Invasive Infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"סטרפטוקוקים מקבוצה A זיהום פולשני","16","2016"
"Perinatal streptococcal B early onset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"סטרפטוקוק B סב-לידתי - התחלה מוקדמת","16","2016"
"Perinatal streptococcal B late onset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"סטרפטוקוק B סב-לידתי - התחלה מאוחרת","16","2016"
"Salmonellosis of the gastrointestinal tract",3,0,0,0,0,0,6,0,0,0,0,2,8,0,0,"סלמונלוזיס של דרכי העיכול","16","2016"
"Syphilis - primary and secondary",0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,"עגבת ראשונית ושניונית","16","2016"
"Syphilis - other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"עגבת אחרת ומאוחרת","16","2016"
"Congenital Syphilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"עגבת מלידה","16","2016"
"Paratyphoid fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"פאראטיפואיד","16","2016"
"Tetanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"צפדת","16","2016"
"Leprosy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"צרעת","16","2016"
"Q fever",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"קדחת Q","16","2016"
"Dangue fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת דנגי","16","2016"
"Rift Valley fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת השקע האפריקני","16","2016"
"Relapsing fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת חוזרת","16","2016"
"Spotted fever",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"קדחת כתמים","16","2016"
"West Nile fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת מערב הנילוס","16","2016"
"Viral hemorrhagic fever: Ebola, Lassa, Marburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת נגיפית המורגית: אבולה, לאסה, מרבורג","16","2016"
"Viral hemorrhagic fever excluding Ebola, Lassa, Marburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת נגיפית המורגית למעט אבולה, לאסה, מרבורג","16","2016"
"Yellow Fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת צהובה","16","2016"
"Rheumatic fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת שיגרון","16","2016"
"Campylobacteriosis",13,0,0,0,0,1,4,0,0,33,0,7,17,0,1,"קמפילובקטריוזיס","16","2016"
"Criptosporidiosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קריפטוספורידיוזיס","16","2016"
"Other rickettsial diseases",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ריקטסיוזות אחרות","16","2016"
"Tuberculosis - active pulmonary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שחפת ריאות פעילה","16","2016"
"Tuberculosis - extrapulmonary",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"שחפת מחוץ לריאות","16","2016"
"Shigellosis",28,0,0,0,0,0,8,0,1,15,0,0,17,0,0,"שיגלוזיס","16","2016"
"Poliomyelitis caused by wild-type poliovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק ילדים הנגרם ע""י זן פרא של נגיף הפוליו","16","2016"
"Poliomyelitis caused by vaccine derived poliovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק ילדים הנגרם ע""י נגיף שמקורו בתרכיב חיסון","16","2016"
"Acute flaccid paralysis (through 15)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק רפה חד (עד גיל 15 ועד בכלל)","16","2016"
"Pertussis",2,0,0,0,0,0,0,10,0,10,0,2,1,0,1,"שעלת","16","2016"
"Influenza caused by a new subtype",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת הנגרמת ע""י זן חדש","16","2016"
"Pandemic influenza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת פנדמית","16","2016"
"Avian influenza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת העופות","16","2016"
"Toxic shock syndrome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"תסמונת ההלם הטוקסי","16","2016"
"Severe Acute Respiratory Syndrome (SARS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"תסמונת נשימתית חמורה חדה","16","2016"
"Food/Water borne infections",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"הרעלת מזון/מים","16","2016"
"Varicella - Chickenpox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אבעבועות רוח","17","2016"
"Smallpox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אבעבועות שחורות","17","2016"
"Rubella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אדמת","17","2016"
"Congenital rubella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אדמת מלידה","17","2016"
"E. coli O157:H7 infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום ע""י א. קולי O157:H7","17","2016"
"HIV carrier/ AIDS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"נשא HIV/ איידס","17","2016"
"Echinococcosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אכינוקוקוזיס","17","2016"
"Diphtheria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אסכרה","17","2016"
"Botulism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"בוטוליזם","17","2016"
"Brucellosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ברוצלוזיס","17","2016"
"Giardiasis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ג'יארדיאזיס","17","2016"
"Anthrax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"גחלת","17","2016"
"Pneumonic Plague",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דבר נשימתי","17","2016"
"Plague- non pneumonic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דבר שאינו נשימתי","17","2016"
"Acute Hepatitis A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית A","17","2016"
"Acute Hepatitis B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית B","17","2016"
"Acute Hepatitis C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית C","17","2016"
"Acute viral hepatitis - other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית אחרת","17","2016"
"Encephalitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת מח חדה","17","2016"
"Meningitis - meningococcal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה מנינגוקוקית","17","2016"
"Meningitis - Haemophilus influenzae b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה ע""י Hib","17","2016"
"Meningitis - pneumococcal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה פנוימוקוקית","17","2016"
"Acute viral meningitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה נגיפית","17","2016"
"Meningitis - unknown agent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה - מחולל לא ידוע","17","2016"
"Meningitis - other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה אחרת","17","2016"
"Gonorrhea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיבה","17","2016"
"H. influenzae b invasive infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י Hib","17","2016"
"Meningococcal invasive infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י מנינגוקוק","17","2016"
"Pneumococcal invasive infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י פנוימוקוק","17","2016"
"Zika",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיקה","17","2016"
"Congenital Zika",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיקה מלידה","17","2016"
"Mumps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"חזרת","17","2016"
"Measles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"חצבת","17","2016"
"Tularemia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טולרמיה","17","2016"
"Typhoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טיפואיד","17","2016"
"Murine typhus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טיפוס מוריני","17","2016"
"Cholera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"כולירה","17","2016"
"Non cholera vibrio infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ויבריו שאינו כולירה","17","2016"
"Rabies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"כלבת","17","2016"
"Chlamydia trachomatis of the genital tract",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"כלמידיה טרכומטיס בדרכי המין","17","2016"
"Lymphogranuloma venereum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לימפוגרנולומה ונראום","17","2016"
"Listeriosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ליסטריוזיס","17","2016"
"Visceral leishmaniasis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לישמניאזיס - קלה אזר","17","2016"
"Cutaneous leishmaniasis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לישמניאזיס של העור","17","2016"
"Leptospirosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לפטוספירוזיס","17","2016"
"Legionellosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"מחלת הלגיונרים","17","2016"
"Creutzfeldt-Jacob disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"מחלת קרויצפלדט-יעקוב","17","2016"
"Malaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"מלריה","17","2016"
"GAS Invasive Infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"סטרפטוקוקים מקבוצה A זיהום פולשני","17","2016"
