disease_type,Jerusalem,Zefat,Kinneret,Afula,Akko,Nazareth,Haifa,Hadera,Ha'Sharon,Petach Tiqwa,Ramla,Rehovot,Tel Aviv,Beer Sheva,Ashqelon,disease_type_heb,week_num,year,all_districts
Leptospirosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,לפטוספירוזיס,20,2015,0
Legionellosis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,מחלת הלגיונרים,20,2015,1
Creutzfeldt-Jacob disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,מחלת קרויצפלדט-יעקוב,20,2015,0
Malaria,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,מלריה,20,2015,3
GAS Invasive Infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,סטרפטוקוקים מקבוצה A זיהום פולשני,20,2015,0
Perinatal streptococcal B early onset,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,סטרפטוקוק B סב-לידתי - התחלה מוקדמת,20,2015,1
Perinatal streptococcal B late onset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,סטרפטוקוק B סב-לידתי - התחלה מאוחרת,20,2015,0
Salmonellosis of the gastrointestinal tract,6,0,2,0,0,0,5,0,2,0,0,7,8,1,0,סלמונלוזיס של דרכי העיכול,20,2015,31
Syphilis - primary and secondary,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,עגבת ראשונית ושניונית,20,2015,4
Syphilis - other,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,עגבת אחרת ומאוחרת,20,2015,3
Congenital Syphilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,עגבת מלידה,20,2015,0
Paratyphoid fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,פאראטיפואיד,20,2015,0
Tetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,צפדת,20,2015,0
Leprosy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,צרעת,20,2015,0
Q fever,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,קדחת Q,20,2015,3
Dangue fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת דנגי,20,2015,0
Rift Valley fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת השקע האפריקני,20,2015,0
Relapsing fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת חוזרת,20,2015,0
Spotted fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת כתמים,20,2015,0
West Nile fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת מערב הנילוס,20,2015,0
"Viral hemorrhagic fever: Ebola, Lassa, Marburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת נגיפית המורגית: אבולה, לאסה, מרבורג",20,2015,0
"Viral hemorrhagic fever excluding Ebola, Lassa, Marburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת נגיפית המורגית למעט אבולה, לאסה, מרבורג",20,2015,0
Yellow Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת צהובה,20,2015,0
Rheumatic fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת שיגרון,20,2015,0
Campylobacteriosis,55,0,2,0,0,0,14,0,5,0,0,7,22,9,0,קמפילובקטריוזיס,20,2015,114
Criptosporidiosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קריפטוספורידיוזיס,20,2015,0
Other rickettsial diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ריקטסיוזות אחרות,20,2015,0
Tuberculosis - active pulmonary,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,שחפת ריאות פעילה,20,2015,6
Tuberculosis - extrapulmonary,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,שחפת מחוץ לריאות,20,2015,1
Shigellosis,7,0,0,0,0,0,5,0,1,0,0,3,20,0,0,שיגלוזיס,20,2015,36
Poliomyelitis caused by wild-type poliovirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק ילדים הנגרם ע""י זן פרא של נגיף הפוליו",20,2015,0
Poliomyelitis caused by vaccine derived poliovirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק ילדים הנגרם ע""י נגיף שמקורו בתרכיב חיסון",20,2015,0
Acute flaccid paralysis (through 15),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,שיתוק רפה חד (עד גיל 15 ועד בכלל),20,2015,0
Pertussis,41,0,9,0,7,0,2,5,10,15,4,6,16,2,0,שעלת,20,2015,117
Influenza caused by a new subtype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת הנגרמת ע""י זן חדש",20,2015,0
Pandemic influenza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,שפעת פנדמית,20,2015,0
Avian influenza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,שפעת העופות,20,2015,0
Toxic shock syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,תסמונת ההלם הטוקסי,20,2015,0
Severe Acute Respiratory Syndrome (SARS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,תסמונת נשימתית חמורה חדה,20,2015,0
Food/Water borne infections,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,הרעלת מזון/מים,20,2015,5
Hospital (nosocomial) infections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,זיהומים בבית חולים,20,2015,0
Varicella - Chickenpox,3,0,0,10,1,0,0,0,0,21,4,0,1,1,0,אבעבועות רוח,21,2015,41
Smallpox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אבעבועות שחורות,21,2015,0
Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אדמת,21,2015,0
Congenital rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אדמת מלידה,21,2015,0
E. coli O157:H7 infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום ע""י א. קולי O157:H7",21,2015,0
HIV carrier/ AIDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,נשא HIV/ איידס,21,2015,0
Echinococcosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אכינוקוקוזיס,21,2015,0
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אסכרה,21,2015,0
Botulism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,בוטוליזם,21,2015,0
Brucellosis,3,0,0,1,3,0,0,0,0,0,0,0,0,13,0,ברוצלוזיס,21,2015,20
Giardiasis,1,0,0,0,2,0,0,0,0,0,5,0,6,0,0,ג'יארדיאזיס,21,2015,14
Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,גחלת,21,2015,0
Pneumonic Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דבר נשימתי,21,2015,0
Plague- non pneumonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דבר שאינו נשימתי,21,2015,0
Acute Hepatitis A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת כבד נגיפית A,21,2015,0
Acute Hepatitis B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת כבד נגיפית B,21,2015,0
Acute Hepatitis C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת כבד נגיפית C,21,2015,0
Acute viral hepatitis - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת כבד נגיפית אחרת,21,2015,0
Encephalitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת מח חדה,21,2015,0
Meningitis - meningococcal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת עוצבה חדה מנינגוקוקית,21,2015,0
Meningitis - Haemophilus influenzae b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה ע""י Hib",21,2015,0
Meningitis - pneumococcal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת עוצבה חדה פנוימוקוקית,21,2015,2
Acute viral meningitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת עוצבה נגיפית,21,2015,0
Meningitis - unknown agent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת עוצבה - מחולל לא ידוע,21,2015,0
Meningitis - other,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,דלקת עוצבה חדה אחרת,21,2015,1
Gonorrhea,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,זיבה,21,2015,3
H. influenzae b invasive infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י Hib",21,2015,0
Meningococcal invasive infection,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"זיהום פולשני ע""י מנינגוקוק",21,2015,2
Pneumococcal invasive infection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י פנוימוקוק",21,2015,1
Mumps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,חזרת,21,2015,0
Measles,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,חצבת,21,2015,9
Tularemia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,טולרמיה,21,2015,0
Typhoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,טיפואיד,21,2015,0
Murine typhus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,טיפוס מוריני,21,2015,1
Cholera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,כולירה,21,2015,0
Non cholera vibrio infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ויבריו שאינו כולירה,21,2015,0
Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,כלבת,21,2015,0
Chlamydia trachomatis of the genital tract,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,כלמידיה טרכומטיס בדרכי המין,21,2015,13
Lymphogranuloma venereum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,לימפוגרנולומה ונראום,21,2015,0
Listeriosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ליסטריוזיס,21,2015,0
Visceral leishmaniasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,לישמניאזיס - קלה אזר,21,2015,0
Cutaneous leishmaniasis,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,לישמניאזיס של העור,21,2015,3
Leptospirosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,לפטוספירוזיס,21,2015,0
Legionellosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,מחלת הלגיונרים,21,2015,0
Creutzfeldt-Jacob disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,מחלת קרויצפלדט-יעקוב,21,2015,0
Malaria,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,מלריה,21,2015,1
GAS Invasive Infection,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,סטרפטוקוקים מקבוצה A זיהום פולשני,21,2015,1
Perinatal streptococcal B early onset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,סטרפטוקוק B סב-לידתי - התחלה מוקדמת,21,2015,0
Perinatal streptococcal B late onset,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,סטרפטוקוק B סב-לידתי - התחלה מאוחרת,21,2015,1
Salmonellosis of the gastrointestinal tract,1,0,0,1,4,0,6,0,0,0,4,0,1,2,0,סלמונלוזיס של דרכי העיכול,21,2015,19
Syphilis - primary and secondary,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,עגבת ראשונית ושניונית,21,2015,4
Syphilis - other,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,עגבת אחרת ומאוחרת,21,2015,3
Congenital Syphilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,עגבת מלידה,21,2015,0
Paratyphoid fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,פאראטיפואיד,21,2015,0
Tetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,צפדת,21,2015,0
Leprosy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,צרעת,21,2015,0
Q fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת Q,21,2015,0
Dangue fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת דנגי,21,2015,0
Rift Valley fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת השקע האפריקני,21,2015,0
Relapsing fever,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת חוזרת,21,2015,1
Spotted fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת כתמים,21,2015,0
West Nile fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת מערב הנילוס,21,2015,0
"Viral hemorrhagic fever: Ebola, Lassa, Marburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת נגיפית המורגית: אבולה, לאסה, מרבורג",21,2015,0
"Viral hemorrhagic fever excluding Ebola, Lassa, Marburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת נגיפית המורגית למעט אבולה, לאסה, מרבורג",21,2015,0
Yellow Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת צהובה,21,2015,0
Rheumatic fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת שיגרון,21,2015,0
Campylobacteriosis,0,0,3,1,4,0,36,0,0,0,15,0,22,13,0,קמפילובקטריוזיס,21,2015,94
Criptosporidiosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קריפטוספורידיוזיס,21,2015,0
Other rickettsial diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ריקטסיוזות אחרות,21,2015,0
Tuberculosis - active pulmonary,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,שחפת ריאות פעילה,21,2015,8
Tuberculosis - extrapulmonary,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,שחפת מחוץ לריאות,21,2015,3
Shigellosis,2,0,1,0,0,0,0,0,0,0,0,0,7,3,0,שיגלוזיס,21,2015,13
Poliomyelitis caused by wild-type poliovirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק ילדים הנגרם ע""י זן פרא של נגיף הפוליו",21,2015,0
Poliomyelitis caused by vaccine derived poliovirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק ילדים הנגרם ע""י נגיף שמקורו בתרכיב חיסון",21,2015,0
Acute flaccid paralysis (through 15),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,שיתוק רפה חד (עד גיל 15 ועד בכלל),21,2015,0
Pertussis,26,0,5,13,8,0,0,0,19,0,10,0,26,6,0,שעלת,21,2015,113
Influenza caused by a new subtype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת הנגרמת ע""י זן חדש",21,2015,0
Pandemic influenza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,שפעת פנדמית,21,2015,0
Avian influenza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,שפעת העופות,21,2015,0
Toxic shock syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,תסמונת ההלם הטוקסי,21,2015,0
Severe Acute Respiratory Syndrome (SARS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,תסמונת נשימתית חמורה חדה,21,2015,0
Food/Water borne infections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,הרעלת מזון/מים,21,2015,0
Hospital (nosocomial) infections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,זיהומים בבית חולים,21,2015,0
Varicella - Chickenpox,9,0,0,2,2,0,6,0,7,2,6,0,0,0,0,אבעבועות רוח,22,2015,34
Smallpox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אבעבועות שחורות,22,2015,0
Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אדמת,22,2015,0
Congenital rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אדמת מלידה,22,2015,0
E. coli O157:H7 infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום ע""י א. קולי O157:H7",22,2015,0
HIV carrier/ AIDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,נשא HIV/ איידס,22,2015,0
Echinococcosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אכינוקוקוזיס,22,2015,0
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אסכרה,22,2015,0
Botulism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,בוטוליזם,22,2015,0
Brucellosis,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,ברוצלוזיס,22,2015,5
Giardiasis,0,0,0,0,0,0,5,0,0,1,2,0,5,0,0,ג'יארדיאזיס,22,2015,13
Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,גחלת,22,2015,0
Pneumonic Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דבר נשימתי,22,2015,0
Plague- non pneumonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דבר שאינו נשימתי,22,2015,0
Acute Hepatitis A,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,דלקת כבד נגיפית A,22,2015,2
Acute Hepatitis B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת כבד נגיפית B,22,2015,0
Acute Hepatitis C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת כבד נגיפית C,22,2015,0
Acute viral hepatitis - other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת כבד נגיפית אחרת,22,2015,0
Encephalitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת מח חדה,22,2015,0
Meningitis - meningococcal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת עוצבה חדה מנינגוקוקית,22,2015,0
Meningitis - Haemophilus influenzae b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה ע""י Hib",22,2015,0
Meningitis - pneumococcal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת עוצבה חדה פנוימוקוקית,22,2015,0
Acute viral meningitis,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,דלקת עוצבה נגיפית,22,2015,3
Meningitis - unknown agent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת עוצבה - מחולל לא ידוע,22,2015,0
Meningitis - other,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,דלקת עוצבה חדה אחרת,22,2015,2
Gonorrhea,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,זיבה,22,2015,2
H. influenzae b invasive infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י Hib",22,2015,0
Meningococcal invasive infection,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"זיהום פולשני ע""י מנינגוקוק",22,2015,1
Pneumococcal invasive infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י פנוימוקוק",22,2015,0
Mumps,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,חזרת,22,2015,1
Measles,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,חצבת,22,2015,2
Tularemia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,טולרמיה,22,2015,0
Typhoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,טיפואיד,22,2015,0
Murine typhus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,טיפוס מוריני,22,2015,0
Cholera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,כולירה,22,2015,0
Non cholera vibrio infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ויבריו שאינו כולירה,22,2015,0
Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,כלבת,22,2015,0
Chlamydia trachomatis of the genital tract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,כלמידיה טרכומטיס בדרכי המין,22,2015,0
Lymphogranuloma venereum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,לימפוגרנולומה ונראום,22,2015,0
Listeriosis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ליסטריוזיס,22,2015,1
Visceral leishmaniasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,לישמניאזיס - קלה אזר,22,2015,0
Cutaneous leishmaniasis,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,לישמניאזיס של העור,22,2015,6
Leptospirosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,לפטוספירוזיס,22,2015,0
Legionellosis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,מחלת הלגיונרים,22,2015,1
Creutzfeldt-Jacob disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,מחלת קרויצפלדט-יעקוב,22,2015,0
Malaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,מלריה,22,2015,0
GAS Invasive Infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,סטרפטוקוקים מקבוצה A זיהום פולשני,22,2015,0
Perinatal streptococcal B early onset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,סטרפטוקוק B סב-לידתי - התחלה מוקדמת,22,2015,0
Perinatal streptococcal B late onset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,סטרפטוקוק B סב-לידתי - התחלה מאוחרת,22,2015,0
Salmonellosis of the gastrointestinal tract,5,0,0,0,1,0,0,0,0,2,6,0,0,3,0,סלמונלוזיס של דרכי העיכול,22,2015,17
Syphilis - primary and secondary,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,עגבת ראשונית ושניונית,22,2015,2
Syphilis - other,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,עגבת אחרת ומאוחרת,22,2015,1
Congenital Syphilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,עגבת מלידה,22,2015,0
Paratyphoid fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,פאראטיפואיד,22,2015,0
Tetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,צפדת,22,2015,0
Leprosy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,צרעת,22,2015,0
Q fever,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,קדחת Q,22,2015,11
Dangue fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת דנגי,22,2015,0
Rift Valley fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת השקע האפריקני,22,2015,0
Relapsing fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת חוזרת,22,2015,0
Spotted fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת כתמים,22,2015,0
West Nile fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת מערב הנילוס,22,2015,0
"Viral hemorrhagic fever: Ebola, Lassa, Marburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת נגיפית המורגית: אבולה, לאסה, מרבורג",22,2015,0
"Viral hemorrhagic fever excluding Ebola, Lassa, Marburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת נגיפית המורגית למעט אבולה, לאסה, מרבורג",22,2015,0
Yellow Fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת צהובה,22,2015,0
Rheumatic fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קדחת שיגרון,22,2015,0
Campylobacteriosis,18,0,0,0,2,0,5,0,6,6,19,0,15,29,0,קמפילובקטריוזיס,22,2015,100
Criptosporidiosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,קריפטוספורידיוזיס,22,2015,0
Other rickettsial diseases,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ריקטסיוזות אחרות,22,2015,1
Tuberculosis - active pulmonary,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,שחפת ריאות פעילה,22,2015,3
Tuberculosis - extrapulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,שחפת מחוץ לריאות,22,2015,0
Shigellosis,3,0,0,1,0,0,1,0,3,7,3,0,15,1,0,שיגלוזיס,22,2015,34
Poliomyelitis caused by wild-type poliovirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק ילדים הנגרם ע""י זן פרא של נגיף הפוליו",22,2015,0
Poliomyelitis caused by vaccine derived poliovirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק ילדים הנגרם ע""י נגיף שמקורו בתרכיב חיסון",22,2015,0
Acute flaccid paralysis (through 15),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,שיתוק רפה חד (עד גיל 15 ועד בכלל),22,2015,0
Pertussis,35,0,0,9,6,0,9,0,0,13,10,0,54,3,0,שעלת,22,2015,139
Influenza caused by a new subtype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת הנגרמת ע""י זן חדש",22,2015,0
Pandemic influenza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,שפעת פנדמית,22,2015,0
Avian influenza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,שפעת העופות,22,2015,0
Toxic shock syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,תסמונת ההלם הטוקסי,22,2015,0
Severe Acute Respiratory Syndrome (SARS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,תסמונת נשימתית חמורה חדה,22,2015,0
Food/Water borne infections,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,הרעלת מזון/מים,22,2015,58
Hospital (nosocomial) infections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,זיהומים בבית חולים,22,2015,0
Varicella - Chickenpox,5,0,0,6,0,0,3,0,0,0,0,3,14,4,0,אבעבועות רוח,23,2015,35
Smallpox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אבעבועות שחורות,23,2015,0
Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אדמת,23,2015,0
Congenital rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אדמת מלידה,23,2015,0
E. coli O157:H7 infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום ע""י א. קולי O157:H7",23,2015,0
HIV carrier/ AIDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,נשא HIV/ איידס,23,2015,0
Echinococcosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אכינוקוקוזיס,23,2015,0
Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,אסכרה,23,2015,0
Botulism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,בוטוליזם,23,2015,0
Brucellosis,1,0,0,2,0,0,0,0,0,0,0,0,0,6,0,ברוצלוזיס,23,2015,9
Giardiasis,1,1,0,0,0,0,0,0,1,0,1,0,0,8,0,ג'יארדיאזיס,23,2015,12
Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,גחלת,23,2015,0
Pneumonic Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דבר נשימתי,23,2015,0
Plague- non pneumonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דבר שאינו נשימתי,23,2015,0
Acute Hepatitis A,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת כבד נגיפית A,23,2015,4
Acute Hepatitis B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,דלקת כבד נגיפית B,23,2015,1
Acute Hepatitis C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,דלקת כבד נגיפית C,23,2015,0
