Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33
705,408,רום קרן השתלמות לעובדי הרשויות המקומיות מסלול קלאסי כללי,קרנות השתלמות,הסתדרות העובדים הכללית החדשה מס' אגודה עות'מאנית,"החברה המנהלת של רום קרן ההשתלמות לעובדי הרשויות המקומיות בע""מ",201812,01/04/1978,עובדי סקטור מסויים,כללי,כללי,49.38,34.13,-20.19,-4.94,3325.99,0.38,,-2.79,-1.75,7.5,15.76,2.44,2.97,3.79,0.12,0.53,86.4,1088.46,953.31,624.02,520031824,29/05/2019
706,416,"הראל השתלמות אג""ח עד 20% מניות ",קרנות השתלמות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201801,01/04/1978,כלל האוכלוסיה,"אג""ח","אג""ח",13.20,10.19,10.92,13.93,1864.32,0.68,,0.91,0.91,12.75,27.48,4.08,4.98,2.88,1.44,1.63,78.1,382.19,569.46,334.25,512267592,29/05/2019
707,416,"הראל השתלמות אג""ח עד 20% מניות ",קרנות השתלמות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201802,01/04/1978,כלל האוכלוסיה,"אג""ח","אג""ח",12.81,10.19,14.48,17.10,1867.09,0.68,,-0.71,0.19,9.65,25.49,3.12,4.65,2.91,1.44,1.45,77.7,385.03,567.17,336.48,512267592,29/05/2019
708,416,"הראל השתלמות אג""ח עד 20% מניות ",קרנות השתלמות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201803,01/04/1978,כלל האוכלוסיה,"אג""ח","אג""ח",13.41,9.52,17.35,21.24,1884.64,0.68,,-0.13,0.06,9.45,24.81,3.06,4.53,2.92,1.56,1.4,77.4,379.78,574.52,343.02,512267592,29/05/2019
709,416,"הראל השתלמות אג""ח עד 20% מניות ",קרנות השתלמות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201804,01/04/1978,כלל האוכלוסיה,"אג""ח","אג""ח",8.01,8.75,12.94,12.20,1906.52,0.68,,0.56,0.62,9.2,24.36,2.98,4.46,2.91,1.44,1.43,77.1,392.84,604.06,370.21,512267592,29/05/2019
710,416,"הראל השתלמות אג""ח עד 20% מניות ",קרנות השתלמות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201805,01/04/1978,כלל האוכלוסיה,"אג""ח","אג""ח",13.38,10.57,17.54,20.35,1923.41,0.68,,-0.12,0.5,8.82,22.57,2.86,4.15,2.89,1.2,1.35,77.4,417.07,619.54,389.96,512267592,29/05/2019
711,416,"הראל השתלמות אג""ח עד 20% מניות ",קרנות השתלמות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201806,01/04/1978,כלל האוכלוסיה,"אג""ח","אג""ח",11.35,8.07,21.04,24.32,1951.99,0.68,,0.28,0.78,11.15,24.28,3.59,4.44,2.81,1.2,1.44,77.1,425.13,633.38,387.96,512267592,29/05/2019
712,416,"הראל השתלמות אג""ח עד 20% מניות ",קרנות השתלמות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201807,01/04/1978,כלל האוכלוסיה,"אג""ח","אג""ח",15.16,11.55,18.27,21.88,1985.65,0.68,,0.65,1.44,10.65,23.21,3.43,4.26,2.77,1.2,1.47,77.3,422.74,642.32,397.75,512267592,29/05/2019
713,416,"הראל השתלמות אג""ח עד 20% מניות ",קרנות השתלמות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201808,01/04/1978,כלל האוכלוסיה,"אג""ח","אג""ח",12.01,9.19,16.44,19.26,2016.91,0.68,,0.66,2.11,12.37,24.68,3.96,4.51,2.74,1.2,1.57,77.2,427.37,641.12,397.5,512267592,29/05/2019
714,416,"הראל השתלמות אג""ח עד 20% מניות ",קרנות השתלמות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201809,01/04/1978,כלל האוכלוסיה,"אג""ח","אג""ח",11.14,4.49,-0.85,5.80,2027.8,0.68,,0.3,2.42,14.38,22.98,4.58,4.22,2.68,1.2,1.55,77.1,431.74,643.31,408.08,512267592,29/05/2019
715,416,"הראל השתלמות אג""ח עד 20% מניות ",קרנות השתלמות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201810,01/04/1978,כלל האוכלוסיה,"אג""ח","אג""ח",13.12,8.54,9.81,14.39,2017.41,0.68,,-1.16,1.23,10.86,20.15,3.5,3.74,2.73,1.08,1.26,76.6,438.36,655,411.24,512267592,29/05/2019
716,416,"הראל השתלמות אג""ח עד 20% מניות ",קרנות השתלמות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201811,01/04/1978,כלל האוכלוסיה,"אג""ח","אג""ח",12.85,8.48,10.88,15.25,2033.46,0.68,,0.1,1.33,11.01,18.74,3.54,3.5,2.7,1.08,1.21,76.9,442.87,652.23,413.46,512267592,29/05/2019
717,416,"הראל השתלמות אג""ח עד 20% מניות ",קרנות השתלמות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",201812,01/04/1978,כלל האוכלוסיה,"אג""ח","אג""ח",26.64,11.45,5.04,20.23,2015.14,0.68,,-1.64,-0.33,9.73,16.71,3.14,3.14,2.83,0.84,0.89,76.5,434.09,645.82,412.79,512267592,29/05/2019
718,418,"יהב-קרן השתלמות וחיסכון לאחים ואחיות בע""מ - מסלול כללי",קרנות השתלמות,הסתדרות האחים והאחיות בישראל,"יהב אחים ואחיות - חברה לניהול קופות גמל בע""מ",201801,01/04/1978,עובדי סקטור מסויים,כללי,כללי,21.95,13.12,-20.41,-11.58,2264.44,0.22,,1.2,1.2,10.54,27.39,3.4,4.96,3.74,0.6,1.24,90.7,801.39,614.06,429.33,510927536,29/05/2019
719,418,"יהב-קרן השתלמות וחיסכון לאחים ואחיות בע""מ - מסלול כללי",קרנות השתלמות,הסתדרות האחים והאחיות בישראל,"יהב אחים ואחיות - חברה לניהול קופות גמל בע""מ",201802,01/04/1978,עובדי סקטור מסויים,כללי,כללי,22.12,17.52,-15.80,-11.20,2229.82,0.22,,-1.02,0.17,6.52,24.89,2.13,4.55,3.78,0.6,1.07,91,764.45,600.36,421.64,510927536,29/05/2019
720,418,"יהב-קרן השתלמות וחיסכון לאחים ואחיות בע""מ - מסלול כללי",קרנות השתלמות,הסתדרות האחים והאחיות בישראל,"יהב אחים ואחיות - חברה לניהול קופות גמל בע""מ",201803,01/04/1978,עובדי סקטור מסויים,כללי,כללי,21.71,16.92,-19.24,-14.45,2196.7,0.22,,-0.82,-0.65,5.22,23.24,1.71,4.27,3.82,0.6,0.95,91,748.55,597.4,415.98,510927536,29/05/2019
721,418,"יהב-קרן השתלמות וחיסכון לאחים ואחיות בע""מ - מסלול כללי",קרנות השתלמות,הסתדרות האחים והאחיות בישראל,"יהב אחים ואחיות - חברה לניהול קופות גמל בע""מ",201804,01/04/1978,עובדי סקטור מסויים,כללי,כללי,21.43,21.44,-14.28,-14.29,2203.33,0.22,,0.98,0.32,5.68,23.44,1.86,4.3,3.82,0.6,1.01,90.7,741.74,621.63,380.57,510927536,29/05/2019
722,418,"יהב-קרן השתלמות וחיסכון לאחים ואחיות בע""מ - מסלול כללי",קרנות השתלמות,הסתדרות האחים והאחיות בישראל,"יהב אחים ואחיות - חברה לניהול קופות גמל בע""מ",201805,01/04/1978,עובדי סקטור מסויים,כללי,כללי,21.59,19.83,-15.44,-13.68,2199.22,0.22,,0.45,0.77,5.97,22.31,1.95,4.11,3.8,0.6,1.01,90.1,724.13,615.37,377.3,510927536,29/05/2019
723,418,"יהב-קרן השתלמות וחיסכון לאחים ואחיות בע""מ - מסלול כללי",קרנות השתלמות,הסתדרות האחים והאחיות בישראל,"יהב אחים ואחיות - חברה לניהול קופות גמל בע""מ",201806,01/04/1978,עובדי סקטור מסויים,כללי,כללי,21.41,19.89,-17.25,-15.73,2178.88,0.22,,-0.19,0.58,8.3,23.92,2.69,4.38,3.71,0.36,1.04,89.7,697.87,616,392.27,510927536,29/05/2019
724,418,"יהב-קרן השתלמות וחיסכון לאחים ואחיות בע""מ - מסלול כללי",קרנות השתלמות,הסתדרות האחים והאחיות בישראל,"יהב אחים ואחיות - חברה לניהול קופות גמל בע""מ",201807,01/04/1978,עובדי סקטור מסויים,כללי,כללי,30.60,18.26,-15.78,-3.44,2200.88,0.22,,1.19,1.78,8.37,23.42,2.72,4.3,3.69,0.36,1.1,89.5,722.8,637.06,407.17,510927536,29/05/2019
725,418,"יהב-קרן השתלמות וחיסכון לאחים ואחיות בע""מ - מסלול כללי",קרנות השתלמות,הסתדרות האחים והאחיות בישראל,"יהב אחים ואחיות - חברה לניהול קופות גמל בע""מ",201808,01/04/1978,עובדי סקטור מסויים,כללי,כללי,23.32,18.58,-20.44,-15.70,2210.15,0.22,,1.16,2.96,11.67,25.91,3.75,4.72,3.67,0.36,1.23,89.1,717.06,626.32,411.96,510927536,29/05/2019
726,418,"יהב-קרן השתלמות וחיסכון לאחים ואחיות בע""מ - מסלול כללי",קרנות השתלמות,הסתדרות האחים והאחיות בישראל,"יהב אחים ואחיות - חברה לניהול קופות גמל בע""מ",201809,01/04/1978,עובדי סקטור מסויים,כללי,כללי,21.08,10.38,-8.40,2.30,2207.92,0.22,,-0.19,2.76,13.34,22.96,4.26,4.22,3.58,0.36,1.14,89,705.07,619.88,402.02,510927536,29/05/2019
727,418,"יהב-קרן השתלמות וחיסכון לאחים ואחיות בע""מ - מסלול כללי",קרנות השתלמות,הסתדרות האחים והאחיות בישראל,"יהב אחים ואחיות - חברה לניהול קופות גמל בע""מ",201810,01/04/1978,עובדי סקטור מסויים,כללי,כללי,20.89,15.06,-17.15,-11.32,2156.3,0.22,,-1.81,0.9,8.41,19,2.73,3.54,3.67,0.12,0.84,88.8,704.86,611.19,398.37,510927536,29/05/2019
728,418,"יהב-קרן השתלמות וחיסכון לאחים ואחיות בע""מ - מסלול כללי",קרנות השתלמות,הסתדרות האחים והאחיות בישראל,"יהב אחים ואחיות - חברה לניהול קופות גמל בע""מ",201811,01/04/1978,עובדי סקטור מסויים,כללי,כללי,21.24,15.17,-8.75,-2.68,2159.07,0.22,,0.27,1.17,8.86,17.36,2.87,3.25,3.62,0.12,0.82,88.7,709.87,608.63,449.69,510927536,29/05/2019
729,418,"יהב-קרן השתלמות וחיסכון לאחים ואחיות בע""מ - מסלול כללי",קרנות השתלמות,הסתדרות האחים והאחיות בישראל,"יהב אחים ואחיות - חברה לניהול קופות גמל בע""מ",201812,01/04/1978,עובדי סקטור מסויים,כללי,כללי,21.49,11.94,-11.52,-1.97,2102.91,0.22,,-2.49,-1.34,7.12,14.62,2.32,2.77,3.82,0,0.51,88.4,678.57,591.61,395.25,510927536,29/05/2019
730,419,השתלמות רופאים כללי,קרנות השתלמות,ההסתדרות הרפואית בישראל,"יהב רופאים - חברה לניהול קופות גמל בע""מ",201801,01/04/1978,עובדי סקטור מסויים,כללי,כללי,14.44,6.37,-21.92,-13.85,1516.21,0.22,,1.16,1.16,10.37,25.03,3.34,4.57,3.63,0.36,1.19,88.4,609.86,492.33,249.37,510930654,29/05/2019
731,419,השתלמות רופאים כללי,קרנות השתלמות,ההסתדרות הרפואית בישראל,"יהב רופאים - חברה לניהול קופות גמל בע""מ",201802,01/04/1978,עובדי סקטור מסויים,כללי,כללי,14.85,10.03,-13.39,-8.57,1485.79,0.22,,-1.43,-0.29,6.4,22.09,2.09,4.07,3.71,0.24,0.96,88.6,568.34,462.33,252.98,510930654,29/05/2019
732,419,השתלמות רופאים כללי,קרנות השתלמות,ההסתדרות הרפואית בישראל,"יהב רופאים - חברה לניהול קופות גמל בע""מ",201803,01/04/1978,עובדי סקטור מסויים,כללי,כללי,14.17,7.09,-20.55,-13.47,1460.5,0.22,,-0.78,-1.06,5.05,20.97,1.66,3.88,3.74,0.36,0.86,88.5,544.02,452.6,239.7,510930654,29/05/2019
733,419,השתלמות רופאים כללי,קרנות השתלמות,ההסתדרות הרפואית בישראל,"יהב רופאים - חברה לניהול קופות גמל בע""מ",201804,01/04/1978,עובדי סקטור מסויים,כללי,כללי,14.34,9.98,-17.01,-12.65,1459.71,0.22,,0.83,-0.24,5.24,21.41,1.72,3.96,3.75,0.36,0.92,88.5,556.65,456.76,256.36,510930654,29/05/2019
734,419,השתלמות רופאים כללי,קרנות השתלמות,ההסתדרות הרפואית בישראל,"יהב רופאים - חברה לניהול קופות גמל בע""מ",201805,01/04/1978,עובדי סקטור מסויים,כללי,כללי,14.11,6.31,-15.69,-7.89,1455.29,0.22,,0.26,0.02,5.18,20.08,1.7,3.73,3.72,0.24,0.9,88.3,550.84,455.41,431.44,510930654,29/05/2019
735,419,השתלמות רופאים כללי,קרנות השתלמות,ההסתדרות הרפואית בישראל,"יהב רופאים - חברה לניהול קופות גמל בע""מ",201806,01/04/1978,עובדי סקטור מסויים,כללי,כללי,13.81,6.43,-17.92,-10.54,1443.1,0.22,,-0.09,-0.07,7.46,21.86,2.43,4.03,3.63,0.12,0.95,87.6,543.1,470.17,303.22,510930654,29/05/2019
736,419,השתלמות רופאים כללי,קרנות השתלמות,ההסתדרות הרפואית בישראל,"יהב רופאים - חברה לניהול קופות גמל בע""מ",201807,01/04/1978,עובדי סקטור מסויים,כללי,כללי,17.50,8.98,-17.97,-9.45,1450.78,0.22,,1.21,1.14,7.33,21.49,2.39,3.97,3.61,0.12,1.01,88.3,555.92,478.03,316.76,510930654,29/05/2019
737,419,השתלמות רופאים כללי,קרנות השתלמות,ההסתדרות הרפואית בישראל,"יהב רופאים - חברה לניהול קופות גמל בע""מ",201808,01/04/1978,עובדי סקטור מסויים,כללי,כללי,13.44,6.12,-20.62,-13.30,1454.12,0.22,,1.17,2.32,10.63,23.89,3.42,4.38,3.59,0.12,1.14,88.2,561.42,482.06,311.74,510930654,29/05/2019
738,419,השתלמות רופאים כללי,קרנות השתלמות,ההסתדרות הרפואית בישראל,"יהב רופאים - חברה לניהול קופות גמל בע""מ",201809,01/04/1978,עובדי סקטור מסויים,כללי,כללי,13.33,4.40,-6.81,2.12,1455.5,0.22,,-0.04,2.28,12.41,21.21,3.98,3.92,3.5,0.12,1.07,88,545.88,478.4,453.72,510930654,29/05/2019
739,419,השתלמות רופאים כללי,קרנות השתלמות,ההסתדרות הרפואית בישראל,"יהב רופאים - חברה לניהול קופות גמל בע""מ",201810,01/04/1978,עובדי סקטור מסויים,כללי,כללי,13.29,5.33,-20.53,-12.57,1416.41,0.22,,-1.81,0.43,7.66,17.41,2.49,3.26,3.6,-0.12,0.78,87.5,513.26,474.79,322.99,510930654,29/05/2019
740,419,השתלמות רופאים כללי,קרנות השתלמות,ההסתדרות הרפואית בישראל,"יהב רופאים - חברה לניהול קופות גמל בע""מ",201811,01/04/1978,עובדי סקטור מסויים,כללי,כללי,12.94,6.62,-16.65,-10.33,1407.34,0.22,,0.11,0.54,8.1,15.65,2.63,2.95,3.54,-0.12,0.74,87.4,518.29,462.82,481.37,510930654,29/05/2019
741,419,השתלמות רופאים כללי,קרנות השתלמות,ההסתדרות הרפואית בישראל,"יהב רופאים - חברה לניהול קופות גמל בע""מ",201812,01/04/1978,עובדי סקטור מסויים,כללי,כללי,13.09,7.17,-17.91,-11.99,1351.07,0.22,,-3.12,-2.6,5.8,12.28,1.9,2.34,3.85,-0.36,0.35,87,477.84,411.91,280.65,510930654,29/05/2019
742,420,יהב קרן השתלמות וחסכון פ.ר.ח - מסלול כללי,קרנות השתלמות,אחר,"יהב - פ.ר.ח. - חברה לניהול קופות גמל בע""מ",201801,01/04/1978,עובדי סקטור מסויים,כללי,כללי,2.11,1.06,-2.13,-1.08,214.67,0.45,,1.24,1.24,11.28,24.43,3.63,4.47,3.62,0.48,1.2,89.1,86.57,73.92,36.35,510930670,29/05/2019
743,420,יהב קרן השתלמות וחסכון פ.ר.ח - מסלול כללי,קרנות השתלמות,אחר,"יהב - פ.ר.ח. - חברה לניהול קופות גמל בע""מ",201802,01/04/1978,עובדי סקטור מסויים,כללי,כללי,1.80,1.06,-2.71,-1.97,209.61,0.45,,-1.41,-0.19,7.18,21.82,2.34,4.03,3.7,0.48,0.98,89.8,83.61,75.1,38.76,510930670,29/05/2019
744,420,יהב קרן השתלמות וחסכון פ.ר.ח - מסלול כללי,קרנות השתלמות,אחר,"יהב - פ.ר.ח. - חברה לניהול קופות גמל בע""מ",201803,01/04/1978,עובדי סקטור מסויים,כללי,כללי,1.78,0.85,-3.16,-2.23,205.53,0.45,,-0.84,-1.03,5.82,20.63,1.9,3.82,3.74,0.48,0.87,89.4,80.05,73.48,37.16,510930670,29/05/2019
745,420,יהב קרן השתלמות וחסכון פ.ר.ח - מסלול כללי,קרנות השתלמות,אחר,"יהב - פ.ר.ח. - חברה לניהול קופות גמל בע""מ",201804,01/04/1978,עובדי סקטור מסויים,כללי,כללי,1.78,1.45,-2.04,-1.71,205.63,0.45,,0.92,-0.12,5.93,21.38,1.94,3.95,3.75,0.48,0.94,89.6,79.9,73.37,39.08,510930670,29/05/2019
746,420,יהב קרן השתלמות וחסכון פ.ר.ח - מסלול כללי,קרנות השתלמות,אחר,"יהב - פ.ר.ח. - חברה לניהול קופות גמל בע""מ",201805,01/04/1978,עובדי סקטור מסויים,כללי,כללי,1.75,1.09,-1.88,-1.22,204.89,0.45,,0.27,0.15,6.05,20.07,1.98,3.73,3.72,0.36,0.93,89.6,78.38,72.65,63,510930670,29/05/2019
747,420,יהב קרן השתלמות וחסכון פ.ר.ח - מסלול כללי,קרנות השתלמות,אחר,"יהב - פ.ר.ח. - חברה לניהול קופות גמל בע""מ",201806,01/04/1978,עובדי סקטור מסויים,כללי,כללי,1.72,1.52,-1.52,-1.32,203.25,0.45,,-0.12,0.03,8.53,21.72,2.77,4.01,3.64,0.24,0.96,88.5,78.67,76.25,41.38,510930670,29/05/2019
748,420,יהב קרן השתלמות וחסכון פ.ר.ח - מסלול כללי,קרנות השתלמות,אחר,"יהב - פ.ר.ח. - חברה לניהול קופות גמל בע""מ",201807,01/04/1978,עובדי סקטור מסויים,כללי,כללי,2.62,0.83,-1.45,0.34,206.06,0.45,,1.24,1.27,8.38,21.81,2.72,4.02,3.64,0.36,1.03,89.3,79.76,76.51,42.41,510930670,29/05/2019
749,420,יהב קרן השתלמות וחסכון פ.ר.ח - מסלול כללי,קרנות השתלמות,אחר,"יהב - פ.ר.ח. - חברה לניהול קופות גמל בע""מ",201808,01/04/1978,עובדי סקטור מסויים,כללי,כללי,1.97,1.22,-2.33,-1.58,206.55,0.45,,1.04,2.33,11.49,23.91,3.69,4.38,3.63,0.24,1.15,88.6,80.51,77.97,40.94,510930670,29/05/2019
750,420,יהב קרן השתלמות וחסכון פ.ר.ח - מסלול כללי,קרנות השתלמות,אחר,"יהב - פ.ר.ח. - חברה לניהול קופות גמל בע""מ",201809,01/04/1978,עובדי סקטור מסויים,כללי,כללי,1.65,0.46,-0.80,0.39,206.72,0.45,,-0.07,2.26,13.42,21.62,4.29,3.99,3.57,0.24,1.08,88.4,78.58,77.37,70.36,510930670,29/05/2019
751,420,יהב קרן השתלמות וחסכון פ.ר.ח - מסלול כללי,קרנות השתלמות,אחר,"יהב - פ.ר.ח. - חברה לניהול קופות גמל בע""מ",201810,01/04/1978,עובדי סקטור מסויים,כללי,כללי,1.64,1.37,-3.40,-3.13,199.43,0.45,,-2,0.21,8.3,18,2.69,3.37,3.7,0,0.77,87.8,75.94,76.26,40.96,510930670,29/05/2019
752,420,יהב קרן השתלמות וחסכון פ.ר.ח - מסלול כללי,קרנות השתלמות,אחר,"יהב - פ.ר.ח. - חברה לניהול קופות גמל בע""מ",201811,01/04/1978,עובדי סקטור מסויים,כללי,כללי,1.59,0.70,-2.49,-1.60,197.74,0.45,,0,0.21,8.53,16.47,2.77,3.1,3.68,0.12,0.73,87.8,76.11,73.23,42.11,510930670,29/05/2019
753,420,יהב קרן השתלמות וחסכון פ.ר.ח - מסלול כללי,קרנות השתלמות,אחר,"יהב - פ.ר.ח. - חברה לניהול קופות גמל בע""מ",201812,01/04/1978,עובדי סקטור מסויים,כללי,כללי,1.68,0.76,-1.60,-0.68,190.62,0.45,,-3.22,-3.02,6.18,12.85,2.02,2.45,3.99,-0.24,0.35,87.6,67.76,62.58,37.1,510930670,29/05/2019
754,423,"קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",קרנות השתלמות,אחר,"החברה המנהלת של קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",201801,02/04/1978,עובדי מפעל/גוף מסויים,כללי,כללי,7.32,9.38,-3.55,-5.61,839.05,0.25,,1.14,1.14,10.03,27.25,3.24,4.94,4.21,0.6,1.03,87.8,323.09,178.94,139.59,520034968,29/05/2019
755,423,"קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",קרנות השתלמות,אחר,"החברה המנהלת של קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",201802,02/04/1978,עובדי מפעל/גוף מסויים,כללי,כללי,7.51,11.84,-4.42,-8.75,821.01,0.25,,-1.09,0.04,5.7,24.33,1.87,4.45,4.24,0.6,0.88,87.5,310.69,170.66,143.07,520034968,29/05/2019
756,423,"קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",קרנות השתלמות,אחר,"החברה המנהלת של קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",201803,02/04/1978,עובדי מפעל/גוף מסויים,כללי,כללי,10.70,8.44,-3.91,-1.65,811.7,0.25,,-0.92,-0.88,3.43,22.55,1.13,4.15,4.28,0.6,0.77,87.6,294.23,163.81,138.97,520034968,29/05/2019
757,423,"קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",קרנות השתלמות,אחר,"החברה המנהלת של קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",201804,02/04/1978,עובדי מפעל/גוף מסויים,כללי,כללי,11.22,3.96,-3.77,3.49,821.58,0.25,,0.81,-0.08,3.66,22.55,1.21,4.15,4.28,0.6,0.81,87.9,294.5,165.02,144.29,520034968,29/05/2019
758,423,"קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",קרנות השתלמות,אחר,"החברה המנהלת של קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",201805,02/04/1978,עובדי מפעל/גוף מסויים,כללי,כללי,8.54,11.20,-4.14,-6.80,817.13,0.25,,0.31,0.23,3.4,21.35,1.12,3.95,4.26,0.48,0.8,87.6,304.9,171.78,149.72,520034968,29/05/2019
759,423,"קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",קרנות השתלמות,אחר,"החברה המנהלת של קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",201806,02/04/1978,עובדי מפעל/גוף מסויים,כללי,כללי,7.48,4.77,-7.12,-4.41,811.88,0.25,,-0.09,0.14,5.58,22.9,1.83,4.21,4.19,0.24,0.83,87.4,303.78,171.17,147.11,520034968,29/05/2019
760,423,"קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",קרנות השתלמות,אחר,"החברה המנהלת של קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",201807,02/04/1978,עובדי מפעל/גוף מסויים,כללי,כללי,9.34,5.64,-5.71,-2.01,819,0.25,,1.15,1.29,4.91,21.97,1.61,4.05,4.15,0.24,0.87,87.5,314.74,178.93,150.23,520034968,29/05/2019
761,423,"קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",קרנות השתלמות,אחר,"החברה המנהלת של קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",201808,02/04/1978,עובדי מפעל/גוף מסויים,כללי,כללי,10.96,5.21,-5.27,0.48,832.79,0.25,,1.65,2.96,8.93,24.74,2.89,4.52,4.17,0.12,1.01,87.5,321.34,180.25,151.93,520034968,29/05/2019
762,423,"קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",קרנות השתלמות,אחר,"החברה המנהלת של קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",201809,02/04/1978,עובדי מפעל/גוף מסויים,כללי,כללי,1.70,2.69,-2.88,-3.87,829.77,0.25,,0.12,3.09,12.04,21.83,3.86,4.03,4.05,0.12,0.96,87.6,322.15,175.03,154.06,520034968,29/05/2019
763,423,"קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",קרנות השתלמות,אחר,"החברה המנהלת של קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",201810,02/04/1978,עובדי מפעל/גוף מסויים,כללי,כללי,13.18,5.59,-4.35,3.24,817.29,0.25,,-1.87,1.16,7.03,17.59,2.29,3.29,4.13,0,0.7,86.9,301.24,160.94,151.01,520034968,29/05/2019
764,423,"קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",קרנות השתלמות,אחר,"החברה המנהלת של קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",201811,02/04/1978,עובדי מפעל/גוף מסויים,כללי,כללי,7.49,4.27,-2.92,0.30,820.21,0.25,,0.34,1.5,7.67,15.88,2.49,2.99,4.07,0,0.68,87,307.19,162.74,178.47,520034968,29/05/2019
765,423,"קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",קרנות השתלמות,אחר,"החברה המנהלת של קרן השתלמות של עובדי חברת החשמל לישראל בע""מ",201812,02/04/1978,עובדי מפעל/גוף מסויים,כללי,כללי,8.17,4.60,-8.50,-4.93,787.19,0.25,,-3.43,-1.98,6.28,12.17,2.05,2.32,4.38,-0.24,0.32,87.2,286.39,152.4,147.43,520034968,29/05/2019
766,429,אי.בי.אי - נגב קופה מרכזית לפיצויים רב מסלולית,מרכזית לפיצויים,"אי.בי.אי בית השקעות בע""מ","אי.בי.אי. חברת ניהול קופות גמל וקרנות השתלמות בע""מ ",201801,01/11/1984,כלל האוכלוסיה,כללי,כללי,0.00,0.07,-0.10,-0.17,279.77,0.29,,,,,,,,,,,92.8,61.06,36.06,38.68,513789842,29/05/2019
767,429,אי.בי.אי - נגב קופה מרכזית לפיצויים רב מסלולית,מרכזית לפיצויים,"אי.בי.אי בית השקעות בע""מ","אי.בי.אי. חברת ניהול קופות גמל וקרנות השתלמות בע""מ ",201802,01/11/1984,כלל האוכלוסיה,כללי,כללי,0.00,0.24,0.00,-0.24,277.53,0.29,,,,,,,,,,,92.8,56.01,35.06,38.92,513789842,29/05/2019
768,429,אי.בי.אי - נגב קופה מרכזית לפיצויים רב מסלולית,מרכזית לפיצויים,"אי.בי.אי בית השקעות בע""מ","אי.בי.אי. חברת ניהול קופות גמל וקרנות השתלמות בע""מ ",201803,01/11/1984,כלל האוכלוסיה,כללי,כללי,0.00,0.26,0.00,-0.26,276.87,0.29,,,,,,,,,,,92.8,53.5,34.72,38.42,513789842,29/05/2019
769,429,אי.בי.אי - נגב קופה מרכזית לפיצויים רב מסלולית,מרכזית לפיצויים,"אי.בי.אי בית השקעות בע""מ","אי.בי.אי. חברת ניהול קופות גמל וקרנות השתלמות בע""מ ",201804,01/11/1984,כלל האוכלוסיה,כללי,כללי,46.72,0.02,-51.12,-4.42,226.98,0.29,,,,,,,,,,,92.1,46.91,31.05,34.09,513789842,29/05/2019
